Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2022-02-09,88.52907850727807,89.38241071220673,88.52907850727807,89.09796905517578,68400,0.0,0.0,0.0
2022-02-10,87.77055342426318,89.12641297482945,87.03099498465173,87.55247497558594,32900,0.0,0.0,0.0
2022-02-11,87.47663792799526,88.11189899324765,86.3293731398444,86.84136962890625,47200,0.0,0.0,0.0
2022-02-14,86.41470278232957,86.60433057424817,85.50447636021445,86.21559143066406,14100,0.0,0.0,0.0
2022-02-15,87.19219124548196,88.25412572403434,87.19219124548196,87.8653793334961,29000,0.0,0.0,0.0
2022-02-16,87.68522717368873,88.53855942286246,87.67574361447858,88.31100463867188,9500,0.0,0.0,0.0
2022-02-17,87.78952615849012,87.78952615849012,86.85085625033852,87.19219207763672,8900,0.0,0.0,0.0
2022-02-18,87.16374018504126,87.7610742080144,86.80344450617692,87.00255584716797,20900,0.0,0.0,0.0
2022-02-22,86.18715103296265,86.71811465617962,85.02091909329754,85.2579574584961,49000,0.0,0.0,0.0
2022-02-23,85.92166491448837,86.11129270360729,83.4659438125304,83.6460952758789,41800,0.0,0.0,0.0
2022-02-24,80.33704173551098,82.74534503483181,80.12844682757694,82.56520080566406,55500,0.0,0.0,0.0
2022-02-25,83.11513105474326,85.40017700195312,83.11513105474326,85.40017700195312,24200,0.0,0.0,0.0
2022-02-28,83.75986353952509,84.14860988560409,83.03927220126099,83.58920288085938,13200,0.0,0.0,0.0
2022-03-01,83.33320055208502,83.45645788813611,81.20933899202073,81.96785736083984,19500,0.0,0.0,0.0
2022-03-02,82.38505505062992,83.43750598897049,82.16698380183472,83.26683807373047,17100,0.0,0.0,0.0
2022-03-03,82.81172265829,83.00135769731111,81.53171688870502,82.13853454589844,29100,0.0,0.0,0.0
2022-03-04,80.63097288151036,80.9154145854701,79.86297087683097,80.87749481201172,17300,0.0,0.0,0.0
2022-03-07,81.23777890327925,81.9014833513619,77.49257608340318,79.24665832519531,40400,0.0,0.0,0.0
2022-03-08,79.73969518038133,80.08103096462654,78.27953815529594,78.801025390625,27000,0.0,0.0,0.0
2022-03-09,80.27067712050649,81.63601321323253,80.00518806957936,81.0860824584961,49600,0.0,0.0,0.0
2022-03-10,81.2188249551068,84.65113568580603,81.2188249551068,83.20994567871094,29200,0.0,0.0,0.0
2022-03-11,84.33823666440081,84.36668734101114,83.1814956665039,83.1814956665039,26600,0.0,0.0,0.0
2022-03-14,84.40462041972236,84.80285038287433,83.45646693058946,83.89262390136719,26700,0.0,0.0,0.0
2022-03-15,83.85468971189745,84.04431749994829,83.40905645275791,83.87364959716797,18800,0.0,0.0,0.0
2022-03-16,84.90714367382782,86.60433197021484,84.55632429590335,86.60433197021484,29900,0.0,0.0,0.0
2022-03-17,86.09232982418925,87.5430033386246,86.09232982418925,87.41973876953125,27700,0.0,0.0,0.0
2022-03-18,86.6991516246009,88.2920496703019,86.6991516246009,88.16878509521484,22100,0.0,0.0,0.0
2022-03-21,87.96966834493365,87.96966834493365,86.35781051251433,86.58536529541016,25700,0.0,0.0,0.0
2022-03-22,87.24907485822067,87.4007828782407,86.53795979050895,86.66122436523438,10900,0.0,0.0,0.0
2022-03-23,86.09232971827558,86.32936806305736,85.7225504791229,85.90269470214844,20700,0.0,0.0,0.0
